nodeName	altName	nodeAttr[nodesPresent, ]
Rv1516c	NA	grey
Rv1517	NA	grey
Rv1518	NA	grey
Rv1519	NA	grey
Rv1520	NA	grey
Rv1523	NA	grey
Rv1534	NA	grey
Rv1539	NA	grey
Rv1540	NA	grey
Rv1542c	NA	grey
Rv1549	NA	grey
Rv1551	NA	grey
Rv1552	NA	grey
Rv1553	NA	grey
Rv1554	NA	grey
Rv1556	NA	grey
Rv1557	NA	grey
Rv1562c	NA	grey
Rv1573	NA	grey
Rv1589	NA	grey
Rv1590	NA	grey
Rv1599	NA	grey
Rv1600	NA	grey
Rv1621c	NA	grey
Rv1632c	NA	grey
Rv1633	NA	grey
Rv1639c	NA	grey
Rv1640c	NA	grey
Rv1646	NA	grey
Rv1647	NA	grey
Rv1667c	NA	grey
Rv1668c	NA	grey
Rv1672c	NA	grey
Rv1673c	NA	grey
Rv1674c	NA	grey
Rv1675c	NA	grey
Rv1690	NA	grey
Rv1691	NA	grey
Rv1692	NA	grey
Rv1693	NA	grey
Rv1694	NA	grey
Rv1708	NA	grey
Rv1714	NA	grey
Rv1718	NA	grey
Rv1720c	NA	grey
Rv1723	NA	grey
Rv1726	NA	grey
Rv1727	NA	grey
Rv1728c	NA	grey
Rv1734c	NA	grey
Rv1735c	NA	grey
Rv1736c	NA	grey
Rv1737c	NA	grey
Rv1745c	NA	grey
Rv1746	NA	grey
Rv1750c	NA	grey
Rv1766	NA	grey
Rv1781c	NA	grey
Rv1789	NA	grey
Rv1795	NA	grey
Rv1803c	NA	grey
Rv1804c	NA	grey
Rv1805c	NA	grey
Rv1813c	NA	grey
Rv1815	NA	grey
Rv1817	NA	grey
Rv1822	NA	grey
Rv1843c	NA	grey
Rv1851	NA	grey
Rv1853	NA	grey
Rv1858	NA	grey
Rv1862	NA	grey
Rv1867	NA	grey
Rv1868	NA	grey
Rv1873	NA	grey
Rv1877	NA	grey
Rv1882c	NA	grey
Rv1891	NA	grey
Rv1897c	NA	grey
Rv1911c	NA	grey
Rv1912c	NA	grey
Rv1913	NA	grey
Rv1918c	NA	grey
Rv1926c	NA	grey
Rv1930c	NA	grey
Rv1931c	NA	grey
Rv1937	NA	grey
Rv1938	NA	grey
Rv1940	NA	grey
Rv1941	NA	grey
Rv1946c	NA	grey
Rv1948c	NA	grey
Rv1950c	NA	grey
Rv1951c	NA	grey
Rv1954c	NA	grey
Rv1958c	NA	grey
Rv1964	NA	grey
Rv1967	NA	grey
Rv1969	NA	grey
Rv1970	NA	grey
Rv1971	NA	grey
Rv1972	NA	grey
Rv1973	NA	grey
Rv1975	NA	grey
Rv1985c	NA	grey
Rv1995	NA	grey
Rv1999c	NA	grey
Rv2014	NA	grey
Rv2023c	NA	grey
Rv2027c	NA	grey
Rv2029c	NA	grey
Rv2030c	NA	grey
Rv2031c	NA	grey
Rv2042c	NA	grey
Rv2044c	NA	grey
Rv2047c	NA	grey
Rv2051c	NA	grey
Rv2055c	NA	grey
Rv2056c	NA	grey
Rv2058c	NA	grey
Rv2060	NA	grey
Rv2067c	NA	grey
Rv2074	NA	grey
Rv2085	NA	grey
Rv2087	NA	grey
Rv2088	NA	grey
Rv2089c	NA	grey
Rv2090	NA	grey
Rv2113	NA	grey
Rv2114	NA	grey
Rv2143	NA	grey
Rv2159c	NA	grey
Rv2161c	NA	grey
Rv2171	NA	grey
Rv2175c	NA	grey
Rv2176	NA	grey
Rv2179c	NA	grey
Rv2188c	NA	grey
Rv2209	NA	grey
Rv2210c	NA	grey
Rv2223c	NA	grey
Rv2228c	NA	grey
Rv2240c	NA	grey
Rv2250c	NA	grey
Rv2263	NA	grey
Rv2266	NA	grey
Rv2268c	NA	grey
Rv2273	NA	grey
Rv2277c	NA	grey
Rv2281	NA	grey
Rv2282c	NA	grey
Rv2283	NA	grey
Rv2286c	NA	grey
Rv2290	NA	grey
Rv2294	NA	grey
Rv2297	NA	grey
Rv2311	NA	grey
Rv2312	NA	grey
Rv2316	NA	grey
Rv2317	NA	grey
Rv2318	NA	grey
Rv2338c	NA	grey
Rv2345	NA	grey
Rv2363	NA	grey
Rv2366c	NA	grey
Rv2369c	NA	grey
Rv2373c	NA	grey
Rv2374c	NA	grey
Rv2377c	NA	grey
Rv2383c	NA	grey
Rv2384	NA	grey
Rv2388c	NA	grey
Rv2402	NA	grey
Rv2405	NA	grey
Rv2407	NA	grey
Rv2408	NA	grey
Rv2412	NA	grey
Rv2414c	NA	grey
Rv2422	NA	grey
Rv2433c	NA	grey
Rv2443	NA	grey
Rv2448c	NA	grey
Rv2451	NA	grey
Rv2456c	NA	grey
Rv2463	NA	grey
Rv2473	NA	grey
Rv2477c	NA	grey
Rv2485c	NA	grey
Rv2487c	NA	grey
Rv2488c	NA	grey
Rv2491	NA	grey
Rv2505c	NA	grey
Rv2512c	NA	grey
Rv2529	NA	grey
Rv2532c	NA	grey
Rv2533c	NA	grey
Rv2545	NA	grey
Rv2548	NA	grey
Rv2550c	NA	grey
Rv2559c	NA	grey
Rv2573	NA	grey
Rv2574	NA	grey
Rv2575	NA	grey
Rv2577	NA	grey
Rv2597	NA	grey
Rv2607	NA	grey
Rv2608	NA	grey
Rv2615c	NA	grey
Rv2620c	NA	grey
Rv2623	NA	grey
Rv2625c	NA	grey
Rv2646	NA	grey
Rv2654c	NA	grey
Rv2691	NA	grey
Rv2698	NA	grey
Rv2702	NA	grey
Rv2715	NA	grey
Rv2727c	NA	grey
Rv2728c	NA	grey
Rv2730	NA	grey
Rv2747	NA	grey
Rv2748c	NA	grey
Rv2755c	NA	grey
Rv2757c	NA	grey
Rv2764c	NA	grey
Rv2766c	NA	grey
Rv2786c	NA	grey
Rv2787	NA	grey
Rv2798c	NA	grey
Rv2799	NA	grey
Rv2810c	NA	grey
Rv2816c	NA	grey
Rv2817c	NA	grey
Rv2821c	NA	grey
Rv2822c	NA	grey
Rv2823c	NA	grey
Rv2826c	NA	grey
Rv2840c	NA	grey
Rv2854	NA	grey
Rv2857c	NA	grey
Rv2862c	NA	grey
Rv2863	NA	grey
Rv2868c	NA	grey
Rv2872	NA	grey
Rv2873	NA	grey
Rv2874	NA	grey
Rv2880c	NA	grey
Rv2893	NA	grey
Rv2899c	NA	grey
Rv2901c	NA	grey
Rv2903c	NA	grey
Rv2917	NA	grey
Rv2944	NA	grey
Rv2962c	NA	grey
Rv2972c	NA	grey
Rv2974c	NA	grey
Rv2986c	NA	grey
Rv2987c	NA	grey
Rv2989	NA	grey
